Price,Close,High,Low,Open,Volume
Ticker,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK
Date,,,,,
2024-08-13,4000.0,4030.0,3830.0,3850.0,34882400
2024-08-14,4060.0,4120.0,4020.0,4040.0,27492300
2024-08-15,4010.0,4100.0,4000.0,4070.0,15306900
2024-08-16,4050.0,4080.0,4030.0,4030.0,10111100
2024-08-19,4130.0,4210.0,4060.0,4060.0,31920100
2024-08-20,4160.0,4190.0,4120.0,4160.0,15804300
2024-08-21,4070.0,4190.0,4070.0,4180.0,13932800
2024-08-22,4000.0,4060.0,3990.0,4060.0,13794300
2024-08-23,4040.0,4080.0,4020.0,4020.0,6368700
2024-08-26,4010.0,4070.0,4010.0,4040.0,13315200
2024-08-27,3970.0,4030.0,3950.0,4010.0,17533300
2024-08-28,4020.0,4030.0,3970.0,3980.0,7746300
2024-08-29,4020.0,4130.0,4020.0,4050.0,23427300
2024-08-30,4010.0,4060.0,4000.0,4050.0,9952200
2024-09-02,4090.0,4130.0,4020.0,4030.0,17321400
2024-09-03,4030.0,4130.0,4030.0,4110.0,7541300
2024-09-04,3980.0,4040.0,3980.0,4020.0,8886200
2024-09-05,4030.0,4080.0,3980.0,3990.0,8784000
2024-09-06,4020.0,4090.0,4020.0,4030.0,9203800
2024-09-09,4000.0,4060.0,3950.0,4040.0,9583300
2024-09-10,4000.0,4030.0,3990.0,4030.0,4099100
2024-09-11,3970.0,4070.0,3950.0,4000.0,12607500
2024-09-12,3960.0,4000.0,3960.0,3970.0,8294200
2024-09-13,3950.0,3990.0,3950.0,3960.0,7673000
2024-09-17,3960.0,4000.0,3950.0,3950.0,4946300
2024-09-18,3910.0,3990.0,3890.0,3970.0,9065000
2024-09-19,3890.0,3930.0,3880.0,3920.0,11076600
2024-09-20,3910.0,3930.0,3890.0,3890.0,9859300
2024-09-23,3830.0,3930.0,3820.0,3910.0,16752800
2024-09-24,3820.0,3860.0,3810.0,3820.0,12538400
2024-09-25,3870.0,3870.0,3810.0,3830.0,12116400
2024-09-26,3900.0,3930.0,3840.0,3870.0,11114800
2024-09-27,3850.0,3930.0,3850.0,3920.0,10839900
2024-09-30,3790.0,3860.0,3760.0,3860.0,13169500
2024-10-01,3880.0,3900.0,3770.0,3770.0,11367300
2024-10-02,3900.0,3950.0,3860.0,3880.0,11369300
2024-10-03,4040.0,4060.0,3910.0,3910.0,26774700
2024-10-04,4030.0,4080.0,4000.0,4060.0,14116000
2024-10-07,4030.0,4050.0,3990.0,4040.0,7161600
2024-10-08,4020.0,4040.0,3970.0,4030.0,7285700
2024-10-09,4010.0,4100.0,4010.0,4030.0,13583800
2024-10-10,4050.0,4050.0,3970.0,4020.0,12321200
2024-10-11,4310.0,4310.0,4010.0,4050.0,42520100
2024-10-14,4140.0,4390.0,4130.0,4330.0,34703500
2024-10-15,4220.0,4260.0,4150.0,4160.0,17690100
2024-10-16,4330.0,4420.0,4220.0,4230.0,40382000
2024-10-17,4570.0,4600.0,4370.0,4370.0,45368500
2024-10-18,4520.0,4650.0,4460.0,4570.0,20375800
2024-10-21,4410.0,4570.0,4410.0,4530.0,12872800
2024-10-22,4310.0,4420.0,4280.0,4390.0,21642900
2024-10-23,4280.0,4360.0,4240.0,4310.0,11976300
2024-10-24,4290.0,4330.0,4250.0,4280.0,7772400
2024-10-25,4390.0,4400.0,4270.0,4290.0,15277100
2024-10-28,4140.0,4410.0,4130.0,4390.0,29216500
2024-10-29,4110.0,4170.0,4060.0,4140.0,28652600
2024-10-30,3910.0,4110.0,3880.0,4110.0,39194600
2024-10-31,3950.0,4030.0,3850.0,3910.0,27690000
2024-11-01,3810.0,3990.0,3810.0,3950.0,22623200
2024-11-04,3610.0,3830.0,3610.0,3810.0,29707200
2024-11-05,3630.0,3680.0,3610.0,3610.0,9901600
2024-11-06,3650.0,3730.0,3630.0,3630.0,10907800
2024-11-07,3660.0,3700.0,3650.0,3680.0,7329900
2024-11-08,3630.0,3690.0,3630.0,3670.0,5170300
2024-11-11,3550.0,3630.0,3480.0,3630.0,16016400
2024-11-12,3600.0,3670.0,3510.0,3550.0,12596800
2024-11-13,3690.0,3690.0,3580.0,3600.0,5542000
2024-11-14,3630.0,3700.0,3630.0,3700.0,5105100
2024-11-15,3540.0,3660.0,3540.0,3630.0,4684600
2024-11-18,3550.0,3570.0,3480.0,3550.0,5202000
2024-11-19,3680.0,3700.0,3550.0,3550.0,7248500
2024-11-20,3620.0,3760.0,3620.0,3690.0,8908100
2024-11-21,3600.0,3650.0,3590.0,3640.0,4399000
2024-11-22,3590.0,3670.0,3590.0,3600.0,3858400
2024-11-25,3650.0,3700.0,3590.0,3600.0,5313900
2024-11-26,3600.0,3720.0,3600.0,3670.0,5081100
2024-11-28,3610.0,3700.0,3600.0,3620.0,8178400
2024-11-29,3500.0,3640.0,3490.0,3630.0,7413800
2024-12-02,3420.0,3540.0,3420.0,3500.0,5879700
2024-12-03,3290.0,3470.0,3280.0,3420.0,22354700
